OutageUID,Site Name,Project ID,Description,Asset,Sub-System,Status,Tollgate,Start Date,End Date,Budget,Actual Cost,Contractor,Project Manager,TollgateLateFlag
NS_MO_2025,North Substation,PRJ-NS-1000,T-24: Invoice Reconciliation,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,67757.59,65440.76,Mistras Group,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1001,T-24: Invoice Reconciliation,Project Management,Financial & Controls,Completed,T-24,02-12-2023,27-12-2023,60519.14,56993.37,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1002,T-24: Daily Safety Audit,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,53233.59,50219.29,GE Vernova,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1003,T-24: Scope Freeze Meeting,Project Management,Supply Chain,Completed,T-24,02-12-2023,27-12-2023,53734.5,57242.38,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1004,T-24: Print Tags,Safety & Compliance,LOTO,Completed,T-24,02-12-2023,27-12-2023,60471.41,59638.84,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1005,T-24: Environmental Permit Review,Project Management,Regulatory,Completed,T-24,02-12-2023,27-12-2023,60434,55951.14,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1006,T-24: Confined Space Drills,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,57232.62,65271.77,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1007,T-24: Confined Space Drills,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,65120.4,67964.26,Siemens Energy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1008,T-24: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,46410.17,45298.41,BrandSafway,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1009,T-24: Air Monitoring Setup,Safety & Compliance,EHS,Completed,T-24,02-12-2023,27-12-2023,63543.94,68570.17,United Rentals,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1010,T-24: Grid Outage Bid,Project Management,Regulatory,Completed,T-24,02-12-2023,27-12-2023,60367.11,68519.09,EthosEnergy,William Carter,FALSE
NS_MO_2025,North Substation,PRJ-NS-1011,T-24: Contractor Orientation,Project Management,Supply Chain,Completed,T-24,02-12-2023,27-12-2023,62161.52,70679.94,GE Vernova,William Carter,FALSE
