OutageUID,Site Name,Project ID,Description,Asset,Sub-System,Status,Tollgate,Start Date,End Date,Budget,Actual Cost,Contractor,Project Manager,TollgateLateFlag
RG_CI_2025,Rural Gen BaseLoad,RG-SFT-201,LOTO & Lock Box Verification,Safety,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
RG_CI_2025,Rural Gen BaseLoad,RG-GT-201,Combustion Can Removal,Gas Turbine,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
RG_CI_2025,Rural Gen BaseLoad,RG-GT-202,Fuel Nozzle Swap,Gas Turbine,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
RG_CI_2025,Rural Gen BaseLoad,RG-GT-203,Borescope Inspection (Compressor),Gas Turbine,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
RG_CI_2025,Rural Gen BaseLoad,RG-BOP-201,Instrument Air Compressor Service,BOP,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
RG_CI_2025,Rural Gen BaseLoad,RG-BOP-202,Auxiliary Cooling Water Filter Change,BOP,,Completed,Completed,08-03-2025,30-03-2025,1150000.0,0.0,TBD,Robert O'Malley,False
SG_FRC_2026,South Gen Unit 1,SG-SFT-301,Emergency LOTO & Grounding,Safety,,Completed,Completed,02-01-2026,06-01-2026,55000.0,0.0,TBD,James Wilson,False
SG_FRC_2026,South Gen Unit 1,SG-GEN-301,Exciter Housing Removal,Generator,,Completed,Completed,02-01-2026,06-01-2026,55000.0,0.0,TBD,James Wilson,False
SG_FRC_2026,South Gen Unit 1,SG-GEN-302,Diode Wheel Testing & Replacement,Generator,,Completed,Completed,02-01-2026,06-01-2026,55000.0,0.0,TBD,James Wilson,False
SG_FRC_2026,South Gen Unit 1,SG-GEN-303,System Reassembly & Megger Test,Generator,,Completed,Completed,02-01-2026,06-01-2026,55000.0,0.0,TBD,James Wilson,False
SG_HGP_2026,South Gen Unit 1,SG-SFT-101,LOTO & Boundary Definition,Safety,,Planned,Planned,05-10-2026,19-11-2026,2737500.0,0.0,TBD,William Carter,False
SG_HGP_2026,South Gen Unit 1,SG-SFT-102,Confined Space Ventilation Setup,Safety,,Planned,Planned,05-10-2026,19-11-2026,2737500.0,0.0,TBD,William Carter,False
SG_HGP_2026,South Gen Unit 1,SG-GT-101,Turbine Shell Removal,Gas Turbine,,Planned,Planned,05-10-2026,19-11-2026,2737500.0,0.0,TBD,William Carter,False
SG_HGP_2026,South Gen Unit 1,SG-GT-102,Stage 1-3 Bucket Inspection,Gas Turbine,,Planned,Planned,05-10-2026,19-11-2026,2737500.0,0.0,TBD,William Carter,False
SG_HGP_2026,South Gen Unit 1,SG-GT-103,Fuel Nozzle Flow Testing,Gas Turbine,,Planned,Planned,05-10-2026,19-11-2026,2737500.0,0.0,TBD,William Carter,False
