Site Name,OutageUID,Project ID,Date,Emp ID,Firm,Role,ST Hours,OT Hours,Total Cost
North Substation,NS_MO_2025,PRJ-NS-1286,01-12-2025,C-1067,PrimeFix Solutions,Millwright,8,0,754.21
North Substation,NS_MO_2025,PRJ-NS-1390,01-12-2025,C-1013,Atlas Heavy Eng,Safety Officer,8,0,603.13
North Substation,NS_MO_2025,PRJ-NS-1255,01-12-2025,C-1000,PrimeFix Solutions,Millwright,8,0,741.9
North Substation,NS_MO_2025,PRJ-NS-1315,01-12-2025,C-1020,Midwest Mech Pros,Field Engineer,8,0,1163.54
North Substation,NS_MO_2025,PRJ-NS-1366,01-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1566.23
North Substation,NS_MO_2025,PRJ-NS-1259,01-12-2025,C-1043,Apex Industrial,Crane Operator,8,0,793.44
North Substation,NS_MO_2025,PRJ-NS-1176,01-12-2025,C-1029,Midwest Mech Pros,Controls Tech,8,0,1057.37
North Substation,NS_MO_2025,PRJ-NS-1181,01-12-2025,C-1069,Precision Welding,Safety Officer,8,0,516.32
North Substation,NS_MO_2025,PRJ-NS-1200,01-12-2025,C-1005,Atlas Heavy Eng,Millwright,8,0,616.43
North Substation,NS_MO_2025,PRJ-NS-1244,01-12-2025,C-1078,Atlas Heavy Eng,Millwright,8,0,672.79
North Substation,NS_MO_2025,PRJ-NS-1226,01-12-2025,C-1018,Atlas Heavy Eng,Controls Tech,8,0,1150.14
North Substation,NS_MO_2025,PRJ-NS-1324,01-12-2025,C-1072,Apex Industrial,Crane Operator,8,0,733.07
North Substation,NS_MO_2025,PRJ-NS-1151,01-12-2025,C-1065,PrimeFix Solutions,Safety Officer,8,0,659.68
North Substation,NS_MO_2025,PRJ-NS-1369,01-12-2025,C-1008,Apex Industrial,Safety Officer,8,0,644.77
North Substation,NS_MO_2025,PRJ-NS-1346,01-12-2025,C-1006,Apex Industrial,Field Engineer,8,0,1392.54
North Substation,NS_MO_2025,PRJ-NS-1334,01-12-2025,C-1010,PrimeFix Solutions,Field Engineer,8,0,1605.99
North Substation,NS_MO_2025,PRJ-NS-1332,01-12-2025,C-1052,PrimeFix Solutions,General Labor,8,0,344.69
North Substation,NS_MO_2025,PRJ-NS-1275,01-12-2025,C-1024,Apex Industrial,Millwright,8,0,721.53
North Substation,NS_MO_2025,PRJ-NS-1261,01-12-2025,C-1018,Atlas Heavy Eng,Controls Tech,8,0,1113.36
North Substation,NS_MO_2025,PRJ-NS-1190,01-12-2025,C-1021,Summit Field Techs,Millwright,8,0,696.43
North Substation,NS_MO_2025,PRJ-NS-1276,01-12-2025,C-1003,Summit Field Techs,Millwright,8,0,665.73
North Substation,NS_MO_2025,PRJ-NS-1330,01-12-2025,C-1071,PrimeFix Solutions,Crane Operator,8,0,803.53
North Substation,NS_MO_2025,PRJ-NS-1372,01-12-2025,C-1066,Apex Industrial,General Labor,8,0,400.72
North Substation,NS_MO_2025,PRJ-NS-1162,01-12-2025,C-1040,Atlas Heavy Eng,Crane Operator,8,0,855.58
