TemplateName,ActivityID,ActivityName,DurationDays,Predecessors,Phase,Responsibility
Planned - Major Overhaul,MA-1000,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1001,T-24: Scope Definition Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1002,T-24: Grid Bid Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1003,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1004,T-24: Scope Definition Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1005,T-24: Budget Approval Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1006,T-24: Regulatory Permit Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1007,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1008,T-24: Scope Definition Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1009,T-24: Budget Approval Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1010,T-24: Scope Definition Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1011,T-24: Scope Definition Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1012,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1013,T-24: Grid Bid Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1014,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1015,T-24: Regulatory Permit Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1016,T-24: Budget Approval Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1017,T-24: Regulatory Permit Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1018,T-24: Invoice Rec Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1019,T-24: Regulatory Permit Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1020,T-24: Budget Approval Planning,30,,T-24,Project Management
Planned - Major Overhaul,MA-1021,T-18: Invoice Rec Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1022,T-18: Invoice Rec Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1023,T-18: Budget Approval Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1024,T-18: Regulatory Permit Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1025,T-18: Budget Approval Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1026,T-18: Grid Bid Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1027,T-18: Scope Definition Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1028,T-18: Scope Definition Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1029,T-18: Regulatory Permit Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1030,T-18: Regulatory Permit Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1031,T-18: Budget Approval Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1032,T-18: Grid Bid Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1033,T-18: Budget Approval Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1034,T-18: Grid Bid Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1035,T-18: Invoice Rec Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1036,T-18: Regulatory Permit Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1037,T-18: Invoice Rec Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1038,T-18: Invoice Rec Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1039,T-18: Regulatory Permit Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1040,T-18: Budget Approval Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1041,T-18: Grid Bid Planning,30,,T-18,Project Management
Planned - Major Overhaul,MA-1042,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1043,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1044,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1045,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1046,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1047,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1048,T-12: Invoice Rec Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1049,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1050,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1051,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1052,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1053,T-12: Grid Bid Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1054,T-12: Invoice Rec Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1055,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1056,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1057,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1058,T-12: Regulatory Permit Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1059,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1060,T-12: Budget Approval Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1061,T-12: Scope Definition Planning,30,,T-12,Project Management
Planned - Major Overhaul,MA-1062,T-12: Grid Bid Planning,30,,T-12,Project Management
