Site Name,Code,Region,Status,Outage Type,Start Date,End Date,Duration (Days),Total Budget ($M),Plant Manager,OutageUID
North Substation,NS,North,Execution,Planned - Major Overhaul,01-12-2025,01-03-2026,90,59.5,William Carter,NS_MO_2025
South Gen Unit 1,SG,South,Completed,Forced - Exciter Diode Failure,22-01-2026,27-01-2026,5,0.22,James Wilson,SG_F_EDF_2026
South Gen Unit 1,SG,South,Planned,Planned - Hot Gas Path,05-10-2026,19-11-2026,45,21.9,William Carter,SG_HGP_2026
Metro Gen CC,MG,Metro,Planned,Planned - Hot Gas Path,15-08-2026,02-10-2026,48,22,Lisa Johnson,MG_HGP_2026
Rural Gen BaseLoad,RG,Rural,Planned,Planned - Combustion Inspection,10-03-2027,07-04-2027,28,6.7,Robert O'Malley,RG_CI_2027
East Peaker,EP,East,Planned,Planned - Major Overhaul,11-09-2027,10-12-2027,90,45,David Chen,EP_MO_2027
West Valley Peaker,WV,West,Planned,Planned - Hot Gas Path,15-08-2026,02-10-2026,48,21.5,Sarah Miller,WV_HGP_2026
Coast BaseLoad,CB,Coast,Planned,Planned - Major Overhaul,01-08-2027,01-11-2027,92,61,Michael Chang,CB_MO_2027
Rural Gen BaseLoad,RG,Rural,Planned,Planned - Hot Gas Path,12-03-2026,26-04-2026,45,20.5,Robert O'Malley,RG_HGP_2026
Rural Gen BaseLoad,RG,Rural,Completed,Planned - Combustion Inspection,08-03-2025,05-04-2025,28,6.2,Robert O'Malley,RG_CI_2025
West Valley Peaker,WV,West,Planned,Planned - Major Overhaul,05-10-2028,19-12-2028,75,75.0,Sarah Miller,WV_MO_2028
